순번,업체명,분야,지정일자,비고
1,강남,함정,1975-10-01,
2,고려화공,탄약,2008-10-01,
3,광림,기동,1988-01-01,
4,기아 ,기동,1973-04-01,
5,다산기공,화력,2016-08-10,
6,다윈프릭션,항공유도,2003-05-01,
7,단암시스템즈,항공유도,2007-02-01,
8,대명,기타,1988-03-01,
9,대신금속,기타,1991-02-01,
10,대양전기공업,기타,1990-11-01,
11,대영에스텍,통신전자,2005-09-01,
12,대한항공,항공유도,1975-10-01,
13,덕산넵코어스,항공유도,2013-03-14,
14,데크카본,항공유도,2014-09-20,
15,동양정공,탄약,2001-06-01,
16,동인광학,기타,2012-10-01,
17,두산에너빌리티,기동,1985-06-01,사명변경(두산중공업)
18,두원중공업,화력,1979-03-01,
19,엠엔씨솔루션,기동,1978-08-01,사명변경(모트롤)
20,미래엠텍,통신전자,2016-07-27,
21,비츠로밀텍,통신전자,1993-10-01,
22,빅텍,통신전자,2015-06-11,
23,삼양정밀화학,탄약,2015-03-30,
24,삼양컴텍,기타,1974-05-01,
25,삼양화학공업,탄약,1979-02-01,
26,삼영이엔씨,통신전자,2004-10-01,
27,삼정터빈,기동,2009-04-01,
28,삼정티비엠,함정,2024-04-29,
29,삼주기업,기동,2016-12-22,
30,성진테크윈,항공유도,2007-03-01,
31,세아항공방산소재,탄약,1973-04-01,
32,스페코,함정,2000-06-01,
33,시공사,기동,2002-12-01,
34,신정개발특장차,기동,2001-02-01,
35,쎄트렉아이,항공유도,2016-09-09,
36,씨앤지,화력,2020-06-17,
37,아이쓰리시스템,통신전자,2010-07-08,
38,아이펙,기타,2016-08-08,
39,에비오시스테크놀러지스,항공,2025-02-13,
40,에이치케이씨(HKC),화생방,1973-04-01,
41,연합정밀,통신전자,1995-05-01,
42,우경광학,기타,2013-07-01,
43,우리별,통신전자,2015-08-04,
44,유아이헬리콥터,항공유도,1990-12-01,
45,유텍,기타,2014-04-07,
46,은성사,기타,1974-05-01,
47,이오시스템,통신전자,1994-05-01,
48,이화전기공업,통신전자,1978-12-01,
49,인소팩,통신전자,2004-01-01,
50,스페이스프로,항공유도,1975-03-01,사명변경(한국화이바)
51,인피니티에코,,2024-12-04,방산업체 매매승인(구 지티앤비)
52,진영정기,화력,1973-04-01,
53,캐스,항공유도,2004-03-01,
54,코리아디펜스인더스트리,탄약,2020-12-08,
55,코오롱스테이스웍스,항공유도,2002-06-01,사명변경(코오롱데크컴퍼지트)
56,티에스택,통신전자,2001-07-01,
57,퍼스텍,항공유도,1975-10-01,
58,평화산업,기동,1978-04-01,
59,풍산,탄약,1973-04-01,
60,풍산FNS,탄약,1979-07-01,
61,한국특수전지,함정,1997-11-01,
62,한국항공우주산업,항공유도,1999-12-01,
63,한일단조공업,탄약,1973-04-01,
64,한컴라이프케어,화생방,2008-01-01,
65,한화오션,함정,1981-07-01,사명변경(대우조선해양)
66,한화시스템,통신전자,2000-02-01,
67,한화에어로스페이스,항공유도,1978-04-01,합병(한화디펜스)
68,현대로템,기동,1978-12-01,
69,현대위아,화력,1976-07-01,
70,현대제이콤,통신전자,2001-07-01,
71,현대트랜시스,기동,1997-10-01,
72,화인정밀,항공유도,2016-08-01,
73,효성중공업,함정,2011-07-01,
74,휴니드테크놀러지스,통신전자,1973-04-01,
75,HD현대인프라코어,기동,1973-04-01,사명변경(현대두산인프라코어)
76,HD현대중공업,함정,1976-03-01,사명변경(현대중공업)
77,HJ중공업,함정,1974-05-01,
78,LIG넥스원,항공유도,1976-06-01,
79,LS엠트론,기동,1984-05-01,
80,SG생활안전,화생방,1973-04-01,
81,SG솔루션,화력,2018-12-27,
82,SK오션플랜트,함정,2017-12-06,사명변경(삼강엠앤티)
83,SNT모티브,화력,1982-11-01,
84,SNT다이내믹스,화력,1973-04-01,사명변경(SNT중공업)
85,STX엔진,기동,1977-07-01,
